time_elapsed,subject,experiment,code_version,rt,octave,pitch_shift,offset,answer,response,correct
204715,10,IP,v1.0,749.4000000059605,5.0,-,-15.0,False,False,True
210859,10,IP,v1.0,1314.899999976158,5.0,+,15.0,True,False,False
216243,10,IP,v1.0,702.2000000178814,5.0,-,-15.0,False,False,True
222019,10,IP,v1.0,1097.0,5.0,-,-15.0,False,False,True
227395,10,IP,v1.0,545.9000000059605,5.0,+,15.0,True,True,True
232811,10,IP,v1.0,737.5,5.0,+,-15.0,True,True,True
238579,10,IP,v1.0,1014.1999999880792,5.0,+,0.0,True,True,True
244411,10,IP,v1.0,1076.199999988079,5.0,+,0.0,True,True,True
249499,10,IP,v1.0,411.1999999880791,5.0,+,-15.0,True,False,False
255595,10,IP,v1.0,1265.5999999940395,5.0,+,15.0,True,True,True
260835,10,IP,v1.0,485.40000000596046,5.0,-,0.0,False,False,True
266059,10,IP,v1.0,467.6999999880791,5.0,-,0.0,False,False,True
271315,10,IP,v1.0,504.90000000596046,5.0,+,0.0,True,True,True
276459,10,IP,v1.0,464.90000000596046,5.0,-,-15.0,False,False,True
281923,10,IP,v1.0,634.9000000059605,5.0,+,15.0,True,True,True
287987,10,IP,v1.0,1236.5999999940395,5.0,+,15.0,True,True,True
293067,10,IP,v1.0,325.60000002384186,5.0,-,0.0,False,False,True
298267,10,IP,v1.0,446.5,5.0,+,0.0,True,True,True
303483,10,IP,v1.0,385.59999999403954,5.0,-,15.0,False,False,True
309211,10,IP,v1.0,895.0,5.0,-,15.0,False,False,True
314507,10,IP,v1.0,467.1999999880791,5.0,+,15.0,True,True,True
320107,10,IP,v1.0,773.0,5.0,+,15.0,True,True,True
325411,10,IP,v1.0,626.0999999940395,5.0,+,-15.0,True,True,True
330515,10,IP,v1.0,349.0,5.0,-,0.0,False,False,True
335803,10,IP,v1.0,609.5,5.0,+,-15.0,True,True,True
341307,10,IP,v1.0,750.1999999880791,5.0,+,0.0,True,False,False
346555,10,IP,v1.0,570.2000000178814,5.0,+,-15.0,True,True,True
351955,10,IP,v1.0,722.7999999821186,5.0,+,-15.0,True,True,True
357419,10,IP,v1.0,706.5999999940395,5.0,+,0.0,True,False,False
362803,10,IP,v1.0,628.3999999761581,5.0,-,0.0,False,False,True
368331,10,IP,v1.0,699.4000000059605,5.0,-,15.0,False,False,True
373500,10,IP,v1.0,486.60000002384186,5.0,+,-15.0,True,True,True
378707,10,IP,v1.0,382.8000000119209,5.0,-,15.0,False,False,True
383963,10,IP,v1.0,501.3000000119209,5.0,+,0.0,True,True,True
389187,10,IP,v1.0,396.2000000178814,5.0,-,15.0,False,False,True
394611,10,IP,v1.0,747.0,5.0,-,-15.0,False,True,False
400075,10,IP,v1.0,707.8999999761581,5.0,+,0.0,True,True,True
405723,10,IP,v1.0,968.7999999821186,5.0,+,-15.0,True,True,True
410939,10,IP,v1.0,460.90000000596046,5.0,-,0.0,False,False,True
416499,10,IP,v1.0,726.8000000119209,5.0,+,15.0,True,True,True
421595,10,IP,v1.0,342.7000000178814,5.0,-,0.0,False,False,True
427187,10,IP,v1.0,762.7999999821186,5.0,-,15.0,False,False,True
432427,10,IP,v1.0,482.09999999403954,5.0,+,0.0,True,True,True
438891,10,IP,v1.0,1785.5999999940395,5.0,+,-15.0,True,True,True
444131,10,IP,v1.0,407.7000000178814,5.0,-,15.0,False,False,True
449715,10,IP,v1.0,831.1999999880791,5.0,-,0.0,False,False,True
455419,10,IP,v1.0,875.2999999821186,5.0,-,15.0,False,False,True
461315,10,IP,v1.0,1216.0,5.0,-,-15.0,False,True,False
466603,10,IP,v1.0,611.9000000059605,5.0,-,-15.0,False,False,True
472283,10,IP,v1.0,852.5999999940395,5.0,+,15.0,True,True,True
477603,10,IP,v1.0,640.3000000119209,5.0,+,-15.0,True,True,True
483195,10,IP,v1.0,764.1999999880791,5.0,-,15.0,False,False,True
488499,10,IP,v1.0,547.5,5.0,-,0.0,False,False,True
493755,10,IP,v1.0,579.1999999880791,5.0,-,-15.0,False,False,True
499323,10,IP,v1.0,887.7999999821186,5.0,-,-15.0,False,False,True
504987,10,IP,v1.0,909.4000000059604,5.0,-,0.0,False,False,True
510347,10,IP,v1.0,603.5999999940395,5.0,+,0.0,True,True,True
515971,10,IP,v1.0,794.3999999761581,5.0,-,15.0,False,True,False
521339,10,IP,v1.0,687.8000000119209,5.0,-,-15.0,False,False,True
527067,10,IP,v1.0,895.6999999880791,5.0,+,15.0,True,True,True
545003,10,IP,v1.0,1950.699999988079,3.0,+,0.0,True,True,True
550019,10,IP,v1.0,337.30000001192093,3.0,-,-15.0,False,False,True
555755,10,IP,v1.0,982.2000000178814,3.0,-,0.0,False,False,True
561523,10,IP,v1.0,939.5999999940396,3.0,+,15.0,True,True,True
566955,10,IP,v1.0,752.2000000178814,3.0,+,-15.0,True,True,True
572827,10,IP,v1.0,1045.800000011921,3.0,+,15.0,True,True,True
578579,10,IP,v1.0,1074.0,3.0,-,-15.0,False,False,True
584019,10,IP,v1.0,685.9000000059605,3.0,+,0.0,True,True,True
589851,10,IP,v1.0,1078.699999988079,3.0,+,0.0,True,True,True
595363,10,IP,v1.0,681.1999999880791,3.0,-,15.0,False,False,True
600963,10,IP,v1.0,923.0999999940396,3.0,+,-15.0,True,True,True
606195,10,IP,v1.0,553.3999999761581,3.0,-,-15.0,False,False,True
612163,10,IP,v1.0,1215.5,3.0,-,0.0,False,False,True
617747,10,IP,v1.0,756.5,3.0,+,15.0,True,True,True
623307,10,IP,v1.0,807.4000000059605,3.0,-,0.0,False,False,True
628963,10,IP,v1.0,977.9000000059604,3.0,-,-15.0,False,False,True
634251,10,IP,v1.0,536.2000000178814,3.0,+,0.0,True,True,True
640203,10,IP,v1.0,1200.0999999940395,3.0,-,0.0,False,False,True
645835,10,IP,v1.0,800.5999999940395,3.0,+,15.0,True,True,True
652779,10,IP,v1.0,2113.699999988079,3.0,-,15.0,False,False,True
658411,10,IP,v1.0,878.5,3.0,+,0.0,True,True,True
664347,10,IP,v1.0,1183.899999976158,3.0,-,0.0,False,False,True
670155,10,IP,v1.0,977.6999999880792,3.0,+,15.0,True,True,True
676003,10,IP,v1.0,1020.6999999880792,3.0,+,15.0,True,True,True
682467,10,IP,v1.0,1633.2000000178814,3.0,+,15.0,True,True,True
687811,10,IP,v1.0,592.0,3.0,-,0.0,False,False,True
694131,10,IP,v1.0,1640.9000000059605,3.0,-,-15.0,False,True,False
700027,10,IP,v1.0,1139.9000000059605,3.0,+,0.0,True,True,True
705507,10,IP,v1.0,652.0999999940395,3.0,-,15.0,False,False,True
711043,10,IP,v1.0,784.0,3.0,+,0.0,True,True,True
716643,10,IP,v1.0,770.4000000059605,3.0,-,15.0,False,False,True
722283,10,IP,v1.0,959.5999999940396,3.0,+,-15.0,True,True,True
728411,10,IP,v1.0,1375.4000000059605,3.0,+,0.0,True,False,False
733851,10,IP,v1.0,760.9000000059605,3.0,+,-15.0,True,True,True
739387,10,IP,v1.0,857.5,3.0,+,-15.0,True,True,True
744747,10,IP,v1.0,528.6999999880791,3.0,-,15.0,False,False,True
750963,10,IP,v1.0,1461.9000000059605,3.0,+,0.0,True,False,False
756731,10,IP,v1.0,937.4000000059604,3.0,-,15.0,False,False,True
763011,10,IP,v1.0,1452.9000000059605,3.0,+,15.0,True,True,True
770227,10,IP,v1.0,2388.0,3.0,+,15.0,True,False,False
775763,10,IP,v1.0,859.4000000059605,3.0,-,-15.0,False,False,True
781715,10,IP,v1.0,1198.0999999940395,3.0,-,0.0,False,True,False
788683,10,IP,v1.0,2291.0,3.0,+,-15.0,True,True,True
797283,10,IP,v1.0,3919.59999999404,3.0,-,-15.0,False,False,True
804099,10,IP,v1.0,2138.300000011921,3.0,-,-15.0,False,False,True
809947,10,IP,v1.0,1095.9000000059605,3.0,-,0.0,False,False,True
816459,10,IP,v1.0,1680.800000011921,3.0,-,15.0,False,False,True
822363,10,IP,v1.0,1071.9000000059605,3.0,-,15.0,False,False,True
827835,10,IP,v1.0,715.4000000059605,3.0,+,0.0,True,True,True
833067,10,IP,v1.0,403.6999999880791,3.0,-,15.0,False,False,True
838459,10,IP,v1.0,710.5999999940395,3.0,+,-15.0,True,True,True
843972,10,IP,v1.0,830.1000000238419,3.0,+,-15.0,True,True,True
849491,10,IP,v1.0,690.2000000178814,3.0,-,15.0,False,False,True
857412,10,IP,v1.0,3165.2000000178814,3.0,-,0.0,False,False,True
863387,10,IP,v1.0,1298.0999999940395,3.0,-,-15.0,False,False,True
868827,10,IP,v1.0,608.5,3.0,+,15.0,True,True,True
874603,10,IP,v1.0,1020.5,3.0,-,0.0,False,False,True
880907,10,IP,v1.0,1623.9000000059605,3.0,+,-15.0,True,True,True
886083,10,IP,v1.0,495.6999999880791,3.0,-,-15.0,False,False,True
891571,10,IP,v1.0,811.5,3.0,+,-15.0,True,True,True
911523,10,IP,v1.0,660.7999999821186,5.0,+,0.0,True,True,True
916699,10,IP,v1.0,420.6999999880791,5.0,-,0.0,False,False,True
922171,10,IP,v1.0,644.9000000059605,5.0,-,15.0,False,False,True
927515,10,IP,v1.0,590.5,5.0,-,0.0,False,False,True
933075,10,IP,v1.0,803.9000000059605,5.0,-,0.0,False,False,True
938915,10,IP,v1.0,1164.0999999940395,5.0,-,-15.0,False,False,True
944299,10,IP,v1.0,627.1999999880791,5.0,+,0.0,True,True,True
949659,10,IP,v1.0,605.6999999880791,5.0,-,0.0,False,False,True
954723,10,IP,v1.0,387.0,5.0,+,-15.0,True,True,True
960059,10,IP,v1.0,504.90000000596046,5.0,-,15.0,False,False,True
965115,10,IP,v1.0,376.0,5.0,-,-15.0,False,False,True
970739,10,IP,v1.0,869.1999999880791,5.0,-,0.0,False,False,True
976131,10,IP,v1.0,560.5999999940395,5.0,-,15.0,False,False,True
981267,10,IP,v1.0,454.6999999880791,5.0,-,-15.0,False,False,True
986419,10,IP,v1.0,475.09999999403954,5.0,+,-15.0,True,True,True
991523,10,IP,v1.0,273.19999998807907,5.0,-,15.0,False,False,True
996891,10,IP,v1.0,614.1999999880791,5.0,+,0.0,True,True,True
1002211,10,IP,v1.0,640.0,5.0,+,-15.0,True,True,True
1007843,10,IP,v1.0,954.5999999940396,5.0,+,-15.0,True,True,True
1013851,10,IP,v1.0,1250.5999999940395,5.0,+,0.0,True,True,True
1018851,10,IP,v1.0,323.5,5.0,-,-15.0,False,False,True
1024243,10,IP,v1.0,560.9000000059605,5.0,+,15.0,True,True,True
1030179,10,IP,v1.0,1179.2000000178814,5.0,+,0.0,True,True,True
1035667,10,IP,v1.0,734.7999999821186,5.0,-,0.0,False,False,True
1040955,10,IP,v1.0,455.8000000119209,5.0,+,15.0,True,True,True
1046459,10,IP,v1.0,752.7999999821186,5.0,+,0.0,True,True,True
1052059,10,IP,v1.0,768.2000000178814,5.0,+,15.0,True,True,True
1057827,10,IP,v1.0,1015.899999976158,5.0,+,0.0,True,True,True
1063659,10,IP,v1.0,1002.0999999940396,5.0,+,15.0,True,True,True
1068963,10,IP,v1.0,472.09999999403954,5.0,-,15.0,False,False,True
1074243,10,IP,v1.0,527.6999999880791,5.0,-,0.0,False,False,True
1079451,10,IP,v1.0,453.0,5.0,+,0.0,True,True,True
1085059,10,IP,v1.0,778.1999999880791,5.0,+,15.0,True,True,True
1090347,10,IP,v1.0,610.0999999940395,5.0,+,-15.0,True,True,True
1095539,10,IP,v1.0,437.90000000596046,5.0,-,0.0,False,False,True
1100931,10,IP,v1.0,640.5,5.0,-,0.0,False,False,True
1106043,10,IP,v1.0,435.0,5.0,-,-15.0,False,False,True
1111219,10,IP,v1.0,496.8000000119209,5.0,-,-15.0,False,False,True
1116363,10,IP,v1.0,462.60000002384186,5.0,-,-15.0,False,False,True
1121715,10,IP,v1.0,520.6999999880791,5.0,+,15.0,True,True,True
1126995,10,IP,v1.0,599.3000000119209,5.0,+,-15.0,True,True,True
1132411,10,IP,v1.0,587.6999999880791,5.0,+,15.0,True,True,True
1137523,10,IP,v1.0,434.59999999403954,5.0,-,-15.0,False,False,True
1142643,10,IP,v1.0,370.6999999880791,5.0,-,0.0,False,False,True
1148411,10,IP,v1.0,1088.300000011921,5.0,+,-15.0,True,True,True
1153587,10,IP,v1.0,349.19999998807907,5.0,-,15.0,False,False,True
1158803,10,IP,v1.0,537.8000000119209,5.0,+,-15.0,True,True,True
1164715,10,IP,v1.0,1080.2000000178814,5.0,+,15.0,True,True,True
1169819,10,IP,v1.0,425.59999999403954,5.0,-,-15.0,False,False,True
1175035,10,IP,v1.0,388.5,5.0,-,15.0,False,False,True
1180355,10,IP,v1.0,565.1999999880791,5.0,+,0.0,True,True,True
1186699,10,IP,v1.0,1515.699999988079,5.0,+,15.0,True,True,True
1191955,10,IP,v1.0,427.40000000596046,5.0,-,15.0,False,False,True
1197187,10,IP,v1.0,551.0999999940395,5.0,-,-15.0,False,False,True
1202595,10,IP,v1.0,577.5999999940395,5.0,+,15.0,True,True,True
1208203,10,IP,v1.0,775.5999999940395,5.0,-,15.0,False,False,True
1213483,10,IP,v1.0,598.7000000178814,5.0,+,-15.0,True,True,True
1218899,10,IP,v1.0,738.0999999940395,5.0,+,-15.0,True,True,True
1224403,10,IP,v1.0,750.6999999880791,5.0,+,0.0,True,True,True
1230019,10,IP,v1.0,788.0,5.0,-,15.0,False,False,True
1294147,10,IP,v1.0,2344.5,3.0,+,0.0,True,False,False
1299259,10,IP,v1.0,432.5,3.0,+,-15.0,True,True,True
1304699,10,IP,v1.0,764.0999999940395,3.0,+,-15.0,True,True,True
1309947,10,IP,v1.0,415.90000000596046,3.0,-,15.0,False,False,True
1315043,10,IP,v1.0,415.09999999403954,3.0,-,-15.0,False,False,True
1320731,10,IP,v1.0,861.4000000059605,3.0,-,15.0,False,False,True
1327083,10,IP,v1.0,1524.5,3.0,-,15.0,False,False,True
1332979,10,IP,v1.0,1064.0,3.0,-,15.0,False,False,True
1338075,10,IP,v1.0,343.30000001192093,3.0,+,0.0,True,True,True
1343667,10,IP,v1.0,763.2999999821186,3.0,-,15.0,False,False,True
1348723,10,IP,v1.0,379.7000000178814,3.0,+,-15.0,True,True,True
1354043,10,IP,v1.0,562.5,3.0,-,0.0,False,False,True
1359779,10,IP,v1.0,980.9000000059604,3.0,+,0.0,True,True,True
1365339,10,IP,v1.0,881.5,3.0,-,-15.0,False,False,True
1375395,10,IP,v1.0,5300.5,3.0,-,0.0,False,True,False
1380627,10,IP,v1.0,478.3000000119209,3.0,-,0.0,False,False,True
1385963,10,IP,v1.0,584.0999999940395,3.0,+,0.0,True,True,True
1391443,10,IP,v1.0,723.2000000178814,3.0,+,0.0,True,True,True
1397123,10,IP,v1.0,923.4000000059604,3.0,-,0.0,False,False,True
1402355,10,IP,v1.0,478.09999999403954,3.0,+,0.0,True,True,True
1407771,10,IP,v1.0,739.5,3.0,-,-15.0,False,False,True
1413771,10,IP,v1.0,1323.5999999940395,3.0,-,-15.0,False,False,True
1419211,10,IP,v1.0,760.8000000119209,3.0,+,-15.0,True,True,True
1426171,10,IP,v1.0,2130.699999988079,3.0,+,15.0,True,True,True
1431371,10,IP,v1.0,521.5999999940395,3.0,-,-15.0,False,False,True
1439331,10,IP,v1.0,3204.5,3.0,-,0.0,False,False,True
1444947,10,IP,v1.0,862.1999999880791,3.0,+,0.0,True,True,True
1452077,10,IP,v1.0,2296.7000000178814,3.0,+,15.0,True,False,False
1457627,10,IP,v1.0,800.2999999821186,3.0,-,0.0,False,False,True
1463275,10,IP,v1.0,817.4000000059605,3.0,+,15.0,True,True,True
1469243,10,IP,v1.0,1212.5999999940395,3.0,-,0.0,False,False,True
1475539,10,IP,v1.0,1616.5999999940395,3.0,-,-15.0,False,False,True
1481747,10,IP,v1.0,1381.0999999940395,3.0,-,15.0,False,False,True
1487499,10,IP,v1.0,921.5,3.0,-,15.0,False,False,True
1493123,10,IP,v1.0,793.0,3.0,-,15.0,False,False,True
1499091,10,IP,v1.0,1135.800000011921,3.0,+,15.0,True,True,True
1504323,10,IP,v1.0,551.2999999821186,3.0,+,-15.0,True,True,True
1509579,10,IP,v1.0,576.9000000059605,3.0,-,-15.0,False,False,True
1518307,10,IP,v1.0,3900.59999999404,3.0,-,15.0,False,True,False
1524803,10,IP,v1.0,1816.800000011921,3.0,+,-15.0,True,True,True
1532835,10,IP,v1.0,3201.7000000178814,3.0,+,15.0,True,True,True
1538019,10,IP,v1.0,427.3000000119209,3.0,-,0.0,False,False,True
1544291,10,IP,v1.0,1440.199999988079,3.0,+,15.0,True,False,False
1550083,10,IP,v1.0,962.6999999880792,3.0,+,15.0,True,False,False
1555419,10,IP,v1.0,580.6999999880791,3.0,+,0.0,True,True,True
1561307,10,IP,v1.0,1058.5999999940395,3.0,-,15.0,False,False,True
1566675,10,IP,v1.0,691.2999999821186,3.0,+,-15.0,True,True,True
1572131,10,IP,v1.0,702.3999999761581,3.0,+,0.0,True,True,True
1577667,10,IP,v1.0,706.1999999880791,3.0,+,15.0,True,True,True
1583979,10,IP,v1.0,1561.5999999940395,3.0,+,0.0,True,False,False
1589363,10,IP,v1.0,554.0,3.0,+,15.0,True,True,True
1594675,10,IP,v1.0,629.9000000059605,3.0,+,-15.0,True,True,True
1599907,10,IP,v1.0,556.2999999821186,3.0,-,-15.0,False,False,True
1605459,10,IP,v1.0,872.0999999940395,3.0,-,-15.0,False,False,True
1610899,10,IP,v1.0,611.6999999880791,3.0,+,15.0,True,True,True
1616603,10,IP,v1.0,951.5999999940396,3.0,-,0.0,False,False,True
1622203,10,IP,v1.0,921.0999999940396,3.0,-,-15.0,False,False,True
1628675,10,IP,v1.0,1791.0,3.0,+,-15.0,True,False,False
1634171,10,IP,v1.0,739.0999999940395,3.0,-,0.0,False,False,True
1639251,10,IP,v1.0,402.8000000119209,3.0,+,-15.0,True,True,True
263427,11,IP,v1.0,3922.299999982119,3.0,-,0.0,False,False,True
269420,11,IP,v1.0,1160.5,3.0,-,15.0,False,False,True
280932,11,IP,v1.0,6682.0,3.0,+,15.0,True,True,True
290171,11,IP,v1.0,4410.4000000059605,3.0,+,15.0,True,False,False
295683,11,IP,v1.0,831.7000000178814,3.0,-,-15.0,False,False,True
301635,11,IP,v1.0,1199.2999999821186,3.0,+,0.0,True,False,False
307603,11,IP,v1.0,1211.5999999940395,3.0,-,0.0,False,False,True
313603,11,IP,v1.0,1168.5,3.0,+,15.0,True,True,True
