shift,interval,difficulty,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,shift_size,response,rt,jnd,correct,subject,experimenter,experiment,version
-,500,4,practice,0,0,0,0,79.5,-,2,19.875,1,15,MW,IPAD,1.1
-,500,4,practice,0,1,1,1,79.5,-,1,19.875,1,15,MW,IPAD,1.1
+,500,4,practice,0,2,2,2,79.5,+,0,19.875,1,15,MW,IPAD,1.1
+,500,4,practice,0,3,3,3,79.5,+,1,19.875,1,15,MW,IPAD,1.1
-,575,1,trial,0,4,4,4,19.875,-,1,19.875,1,15,MW,IPAD,1.1
-,500,0.5,trial,0,5,5,5,9.9375,-,1,19.875,1,15,MW,IPAD,1.1
+,500,0.5,trial,0,6,6,6,9.9375,-,3,19.875,0,15,MW,IPAD,1.1
+,575,0.5,trial,0,7,7,7,9.9375,-,1,19.875,0,15,MW,IPAD,1.1
-,500,1,trial,0,8,8,8,19.875,-,3,19.875,1,15,MW,IPAD,1.1
+,500,0.5,trial,0,9,9,9,9.9375,-,10,19.875,0,15,MW,IPAD,1.1
-,425,1,trial,0,10,10,10,19.875,+,7,19.875,0,15,MW,IPAD,1.1
-,575,1,trial,0,11,11,11,19.875,-,1,19.875,1,15,MW,IPAD,1.1
-,425,1,trial,0,12,12,12,19.875,+,2,19.875,0,15,MW,IPAD,1.1
-,575,1,trial,0,13,13,13,19.875,-,2,19.875,1,15,MW,IPAD,1.1
-,425,1,trial,0,14,14,14,19.875,-,2,19.875,1,15,MW,IPAD,1.1
-,575,1,trial,0,15,15,15,19.875,-,4,19.875,1,15,MW,IPAD,1.1
+,500,1,trial,0,16,16,16,19.875,+,3,19.875,1,15,MW,IPAD,1.1
-,575,1,trial,0,17,17,17,19.875,-,4,19.875,1,15,MW,IPAD,1.1
+,500,0.5,trial,0,18,18,18,9.9375,+,2,19.875,1,15,MW,IPAD,1.1
+,425,0.5,trial,0,19,19,19,9.9375,+,1,19.875,1,15,MW,IPAD,1.1
+,500,1,trial,0,20,20,20,19.875,+,1,19.875,1,15,MW,IPAD,1.1
+,575,0.5,trial,0,21,21,21,9.9375,+,1,19.875,1,15,MW,IPAD,1.1
-,500,0.5,trial,0,22,22,22,9.9375,-,1,19.875,1,15,MW,IPAD,1.1
-,425,0.5,trial,0,23,23,23,9.9375,-,6,19.875,1,15,MW,IPAD,1.1
+,575,0.5,trial,0,24,24,24,9.9375,+,5,19.875,1,15,MW,IPAD,1.1
-,500,1,trial,0,25,25,25,19.875,+,6,19.875,0,15,MW,IPAD,1.1
+,425,1,trial,0,26,26,26,19.875,-,4,19.875,0,15,MW,IPAD,1.1
-,575,0.5,trial,0,27,27,27,9.9375,+,1,19.875,0,15,MW,IPAD,1.1
+,500,1,trial,0,28,28,28,19.875,+,1,19.875,1,15,MW,IPAD,1.1
+,575,1,trial,0,29,29,29,19.875,+,2,19.875,1,15,MW,IPAD,1.1
+,425,1,trial,0,30,30,30,19.875,-,3,19.875,0,15,MW,IPAD,1.1
-,500,0.5,trial,0,31,31,31,9.9375,-,2,19.875,1,15,MW,IPAD,1.1
+,425,0.5,trial,0,32,32,32,9.9375,+,3,19.875,1,15,MW,IPAD,1.1
-,425,0.5,trial,0,33,33,33,9.9375,-,2,19.875,1,15,MW,IPAD,1.1
+,425,0.5,trial,0,34,34,34,9.9375,+,0,19.875,1,15,MW,IPAD,1.1
+,500,0.5,trial,0,35,35,35,9.9375,+,1,19.875,1,15,MW,IPAD,1.1
-,425,0.5,trial,0,36,36,36,9.9375,-,1,19.875,1,15,MW,IPAD,1.1
+,575,1,trial,0,37,37,37,19.875,+,1,19.875,1,15,MW,IPAD,1.1
+,425,1,trial,0,38,38,38,19.875,+,1,19.875,1,15,MW,IPAD,1.1
-,500,0.5,trial,0,39,39,39,9.9375,+,0,19.875,0,15,MW,IPAD,1.1
+,575,1,trial,0,40,40,40,19.875,+,1,19.875,1,15,MW,IPAD,1.1
-,500,1,trial,0,41,41,41,19.875,-,1,19.875,1,15,MW,IPAD,1.1
-,575,0.5,trial,0,42,42,42,9.9375,-,0,19.875,1,15,MW,IPAD,1.1
-,500,0.5,trial,0,43,43,43,9.9375,-,0,19.875,1,15,MW,IPAD,1.1
+,500,1,trial,0,44,44,44,19.875,+,1,19.875,1,15,MW,IPAD,1.1
-,500,1,trial,0,45,45,45,19.875,-,2,19.875,1,15,MW,IPAD,1.1
-,575,0.5,trial,0,46,46,46,9.9375,-,0,19.875,1,15,MW,IPAD,1.1
+,425,0.5,trial,0,47,47,47,9.9375,+,1,19.875,1,15,MW,IPAD,1.1
+,575,1,trial,0,48,48,48,19.875,+,1,19.875,1,15,MW,IPAD,1.1
+,575,1,trial,0,49,49,49,19.875,+,1,19.875,1,15,MW,IPAD,1.1
-,425,1,trial,0,50,50,50,19.875,-,1,19.875,1,15,MW,IPAD,1.1
+,425,1,trial,0,51,51,51,19.875,+,1,19.875,1,15,MW,IPAD,1.1
+,425,1,trial,0,52,52,52,19.875,+,1,19.875,1,15,MW,IPAD,1.1
+,500,0.5,trial,0,53,53,53,9.9375,+,0,19.875,1,15,MW,IPAD,1.1
-,575,0.5,trial,0,54,54,54,9.9375,-,1,19.875,1,15,MW,IPAD,1.1
-,500,1,trial,0,55,55,55,19.875,-,0,19.875,1,15,MW,IPAD,1.1
+,425,0.5,trial,0,56,56,56,9.9375,+,2,19.875,1,15,MW,IPAD,1.1
-,425,0.5,trial,0,57,57,57,9.9375,-,1,19.875,1,15,MW,IPAD,1.1
-,425,0.5,trial,0,58,58,58,9.9375,-,1,19.875,1,15,MW,IPAD,1.1
-,575,0.5,trial,0,59,59,59,9.9375,-,0,19.875,1,15,MW,IPAD,1.1
+,575,0.5,trial,0,60,60,60,9.9375,-,1,19.875,0,15,MW,IPAD,1.1
+,500,1,trial,0,61,61,61,19.875,-,0,19.875,0,15,MW,IPAD,1.1
-,425,1,trial,0,62,62,62,19.875,+,0,19.875,0,15,MW,IPAD,1.1
+,575,0.5,trial,0,63,63,63,9.9375,-,1,19.875,0,15,MW,IPAD,1.1
-,500,0.5,trial,0,64,64,64,9.9375,-,1,19.875,1,15,MW,IPAD,1.1
+,575,1,trial,0,65,65,65,19.875,+,2,19.875,1,15,MW,IPAD,1.1
-,575,0.5,trial,0,66,66,66,9.9375,-,1,19.875,1,15,MW,IPAD,1.1
+,425,1,trial,0,67,67,67,19.875,+,4,19.875,1,15,MW,IPAD,1.1
+,575,1,trial,0,68,68,68,19.875,+,1,19.875,1,15,MW,IPAD,1.1
+,500,1,trial,0,69,69,69,19.875,+,4,19.875,1,15,MW,IPAD,1.1
-,500,1,trial,0,70,70,70,19.875,+,1,19.875,0,15,MW,IPAD,1.1
+,575,0.5,trial,0,71,71,71,9.9375,+,2,19.875,1,15,MW,IPAD,1.1
+,500,1,trial,0,72,72,72,19.875,+,0,19.875,1,15,MW,IPAD,1.1
+,500,0.5,trial,0,73,73,73,9.9375,+,1,19.875,1,15,MW,IPAD,1.1
+,575,1,trial,0,74,74,74,19.875,+,1,19.875,1,15,MW,IPAD,1.1
-,575,1,trial,0,75,75,75,19.875,-,1,19.875,1,15,MW,IPAD,1.1
+,500,0.5,trial,0,76,76,76,9.9375,+,1,19.875,1,15,MW,IPAD,1.1
-,500,1,trial,0,77,77,77,19.875,+,3,19.875,0,15,MW,IPAD,1.1
-,425,0.5,trial,0,78,78,78,9.9375,-,1,19.875,1,15,MW,IPAD,1.1
+,575,1,trial,0,79,79,79,19.875,+,1,19.875,1,15,MW,IPAD,1.1
-,425,1,trial,0,80,80,80,19.875,-,1,19.875,1,15,MW,IPAD,1.1
+,425,1,trial,0,81,81,81,19.875,+,1,19.875,1,15,MW,IPAD,1.1
-,425,1,trial,0,82,82,82,19.875,-,1,19.875,1,15,MW,IPAD,1.1
+,425,0.5,trial,0,83,83,83,9.9375,+,0,19.875,1,15,MW,IPAD,1.1
+,575,0.5,trial,0,84,84,84,9.9375,+,1,19.875,1,15,MW,IPAD,1.1
+,425,0.5,trial,0,85,85,85,9.9375,+,1,19.875,1,15,MW,IPAD,1.1
-,425,0.5,trial,0,86,86,86,9.9375,-,1,19.875,1,15,MW,IPAD,1.1
-,575,1,trial,0,87,87,87,19.875,-,1,19.875,1,15,MW,IPAD,1.1
-,500,0.5,trial,0,88,88,88,9.9375,-,1,19.875,1,15,MW,IPAD,1.1
+,500,0.5,trial,0,89,89,89,9.9375,+,1,19.875,1,15,MW,IPAD,1.1
+,425,1,trial,0,90,90,90,19.875,+,1,19.875,1,15,MW,IPAD,1.1
-,500,1,trial,0,91,91,91,19.875,-,1,19.875,1,15,MW,IPAD,1.1
-,575,0.5,trial,0,92,92,92,9.9375,-,0,19.875,1,15,MW,IPAD,1.1
-,575,1,trial,0,93,93,93,19.875,-,2,19.875,1,15,MW,IPAD,1.1
+,425,0.5,trial,0,94,94,94,9.9375,+,2,19.875,1,15,MW,IPAD,1.1
-,500,1,trial,0,95,95,95,19.875,-,1,19.875,1,15,MW,IPAD,1.1
+,425,1,trial,0,96,96,96,19.875,+,1,19.875,1,15,MW,IPAD,1.1
+,425,0.5,trial,0,97,97,97,9.9375,+,2,19.875,1,15,MW,IPAD,1.1
-,500,0.5,trial,0,98,98,98,9.9375,-,1,19.875,1,15,MW,IPAD,1.1
-,575,1,trial,0,99,99,99,19.875,-,1,19.875,1,15,MW,IPAD,1.1
+,500,1,trial,0,100,100,100,19.875,+,1,19.875,1,15,MW,IPAD,1.1
-,425,1,trial,0,101,101,101,19.875,-,0,19.875,1,15,MW,IPAD,1.1
-,575,0.5,trial,0,102,102,102,9.9375,-,1,19.875,1,15,MW,IPAD,1.1
+,425,0.5,trial,0,103,103,103,9.9375,+,1,19.875,1,15,MW,IPAD,1.1
-,575,0.5,trial,0,104,104,104,9.9375,-,0,19.875,1,15,MW,IPAD,1.1
-,425,0.5,trial,0,105,105,105,9.9375,-,3,19.875,1,15,MW,IPAD,1.1
-,575,0.5,trial,0,106,106,106,9.9375,-,1,19.875,1,15,MW,IPAD,1.1
-,500,0.5,trial,0,107,107,107,9.9375,-,1,19.875,1,15,MW,IPAD,1.1
+,575,1,trial,0,108,108,108,19.875,+,1,19.875,1,15,MW,IPAD,1.1
+,500,1,trial,0,109,109,109,19.875,+,2,19.875,1,15,MW,IPAD,1.1
-,500,1,trial,0,110,110,110,19.875,-,3,19.875,1,15,MW,IPAD,1.1
-,500,0.5,trial,0,111,111,111,9.9375,-,2,19.875,1,15,MW,IPAD,1.1
-,575,1,trial,0,112,112,112,19.875,-,0,19.875,1,15,MW,IPAD,1.1
+,575,0.5,trial,0,113,113,113,9.9375,-,6,19.875,0,15,MW,IPAD,1.1
-,425,1,trial,0,114,114,114,19.875,+,4,19.875,0,15,MW,IPAD,1.1
+,500,1,trial,0,115,115,115,19.875,+,1,19.875,1,15,MW,IPAD,1.1
-,425,0.5,trial,0,116,116,116,9.9375,-,1,19.875,1,15,MW,IPAD,1.1
-,425,1,trial,0,117,117,117,19.875,-,1,19.875,1,15,MW,IPAD,1.1
+,425,1,trial,0,118,118,118,19.875,+,1,19.875,1,15,MW,IPAD,1.1
+,500,0.5,trial,0,119,119,119,9.9375,+,1,19.875,1,15,MW,IPAD,1.1
+,575,0.5,trial,0,120,120,120,9.9375,+,2,19.875,1,15,MW,IPAD,1.1
+,500,0.5,trial,0,121,121,121,9.9375,+,1,19.875,1,15,MW,IPAD,1.1
+,575,0.5,trial,0,122,122,122,9.9375,+,0,19.875,1,15,MW,IPAD,1.1
