shift,interval,difficulty,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,.label,.startVal,.nReversals,.stepSizes,.nUp,.nDown,.minVal,.maxVal,.stepType,.shift,.thisIndex,.thisRepN,.thisN,.direction,.stepSize,.intensity,.response,shift_size,response,rt,jnd,correct,subject,experimenter,experiment,version,
,,,,0,-1,-1,0,s+,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,start,8,1,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,s-,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,start,8,1,False,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,l-,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,start,8,25,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,l+,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,start,8,25,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,s-,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,up,8,9,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,l-,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,down,8,17,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,s+,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,down,8,0,False,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,l+,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,down,8,17,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,l-,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,down,8,9,False,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,l+,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,down,8,9,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,s-,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,down,8,1,False,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,s+,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,up,8,8,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,l-,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,up,8,17,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,s-,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,up,4,5,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,l+,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,down,8,1,False,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,s+,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,up,8,8,False,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,l+,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,up,8,9,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,l-,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,up,8,17,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,s+,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,up,8,16,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,s-,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,up,4,5,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,l+,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,up,8,9,True,,,,,,9,,IPAD,1.0,
,,,,0,-1,-1,0,s-,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,down,4,1,True,,,,,,9,,IPAD,1.0,
