subject,jnd,dprime,csize
10,2.6875,1.1298343624598441,0.0760819982003438
11,12.5,3.4011546648775974,0.04608922137463567
12,5.625,2.633922250926073,0.2763184895701819
13,5.3125,0.8187432306741093,0.06795564150670977
14,6.4375,3.587445106891776,0.23133526153643508
15,19.875,2.3112359478697897,0.24431582843397215
16,5.875,2.083151202563135,0.02916387186488542
17,5.0625,1.2147737414775905,0.2734959397501617
18,14.9375,1.363058648829536,0.22122604703770063
19,41.4375,0.4614397530622245,0.040246016325934615
2,4.0,1.562364592926099,0.1469157644597655
20,20.4375,1.818140056485779,0.33446262003295696
21,38.6875,-0.20976479358629607,0.18150616223907537
22,10.125,2.091014662133674,0.2635618779093162
23,4.1875,1.0499778999661156,0.20081982115234123
24,7.75,2.773981522315805,0.07185411064842985
25,11.375,3.164568607301311,0.2746322841103115
26,4.25,0.8161604815556084,0.2385612699263806
27,13.0625,2.0138199393368352,0.15638577995948932
28,2.875,0.6584111834196258,0.03912175694690487
29,8.8125,0.6792883317997892,0.21969983080555097
3,7.125,2.853277355982976,0.1820725184915347
30,4.6875,0.9454273167530214,0.12128496076483176
31,6.6875,2.114177752532224,0.1278286842997813
32,5.9375,1.1118490271913335,0.2091118816958832
33,9.875,1.7719647785049268,0.12135034454190775
34,7.625,1.363058648829536,0.2576303330067645
35,7.9375,2.784281645013505,0.3450155412562282
36,3.5625,1.3608106100395816,0.01937305598232937
37,10.4375,1.0414617195322033,0.13940155045549024
38,9.6875,1.4084612527034566,0.11717370641228521
39,16.0625,1.939265560554893,0.06258850728351323
4,25.8125,2.7503763561553747,0.2116608013105731
5,8.875,1.759022317912002,0.16280386629459373
6,4.4375,2.889096048009974,0.17587356186415565
7,28.5,1.6183455996036393,0.3138660558558353
8,6.8125,2.9209296610485014,0.2508323075127658
9,7.75,3.9040077559986,0.11200133605845662
