subject,experimenter,version,shift_size,jnd,dprime,C_intercept,C_slope
10,OMR,1.0,1,2.6875,1.1298343624598441,-0.17515981383202095,-0.0029178108065938454
10,OMR,1.0,pooled,2.6875,,-0.17515981383202095,-0.0029178108065938454
11,OMR,1.0,1,12.5,3.4011546648775974,-0.2846434736720214,0.002013723012889408
11,OMR,1.0,pooled,12.5,,-0.2846434736720214,0.002013723012889408
12,EM,1.0,1,5.625,2.633922250926073,-0.31679151974718145,0.02244430588172042
12,EM,1.0,pooled,5.625,,-0.31679151974718145,0.02244430588172042
13,MW,1.0,1,5.3125,0.8187432306741093,0.2798933677667712,-0.0039470625291792225
13,MW,1.0,pooled,5.3125,,0.2798933677667712,-0.0039470625291792225
14,MW,1.0,1,6.4375,3.587445106891776,0.11738173751726065,0.017630800148007133
14,MW,1.0,pooled,6.4375,,0.11738173751726065,0.017630800148007133
15,MW,1.1,1,19.875,2.3283164022637344,-0.06468708497808111,0.006468708497808109
15,MW,1.1,0.5,19.875,2.2436317015838245,-0.024837434278433067,0.0288565124258898
15,MW,1.1,pooled,19.875,,-0.022361317980809287,0.018337258189329634
16,mw,1.1,1,5.875,2.73754160416202,-0.2042783970092897,-0.00029510628963223183
16,mw,1.1,0.5,5.875,1.5367778951179405,-0.44851603471049345,0.002084432715242381
16,mw,1.1,pooled,5.875,,-0.36096104753757574,0.0009598985918341072
17,EM,1.1,1,5.0625,1.783166214237367,0.5132156448599748,0.004757877917894362
17,EM,1.1,0.5,5.0625,0.8464498926433759,0.027744777802352478,0.025955226254226218
17,EM,1.1,pooled,5.0625,,0.24118130881715974,0.017457723639017198
18,EM,1.1,1,14.9375,1.6237363024986535,0.436293145291045,0.013411489980385542
18,EM,1.1,0.5,14.9375,1.2806712589189357,-0.30092378574056483,0.020687068765375675
18,EM,1.1,pooled,14.9375,,0.06209842313264715,0.017703644975003742
19,OMR,1.1,1,41.4375,0.2526169033198422,0.20238225022886547,-0.00392704240018877
19,OMR,1.1,0.5,41.4375,0.6704217200684688,-0.042984057433645036,0.001994135217330704
19,OMR,1.1,pooled,41.4375,,0.08432203710581596,-0.0011936418264968196
2,JKP,1.0,1,4.0,1.562364592926099,-0.34073924802695854,0.009878485456085457
2,JKP,1.0,pooled,4.0,,-0.34073924802695854,0.009878485456085457
20,OMR,1.1,1,20.4375,2.139687277322689,0.4951336286198608,0.01116495108590722
20,OMR,1.1,0.5,20.4375,1.5970509684189536,0.17480503310384687,0.0272951045457787
20,OMR,1.1,pooled,20.4375,,0.36186002663377004,0.023919333042864317
