shift,interval,difficulty,event,shift_size,response,rt,jnd,correct,subject,experimenter,experiment,version,Unnamed: 34,answer
-,575.0,1.0,trial,4.03125,False,2.0,2.6875,True,10,OMR,IPAD,1.0,,False
+,500.0,1.0,trial,2.6875,True,1.0,2.6875,True,10,OMR,IPAD,1.0,,True
+,500.0,1.0,trial,2.6875,True,1.0,2.6875,True,10,OMR,IPAD,1.0,,True
+,575.0,1.0,trial,2.6875,False,1.0,2.6875,False,10,OMR,IPAD,1.0,,True
+,500.0,1.0,trial,4.03125,False,5.0,2.6875,False,10,OMR,IPAD,1.0,,True
-,500.0,1.0,trial,2.6875,False,3.0,2.6875,True,10,OMR,IPAD,1.0,,False
-,425.0,1.0,trial,2.6875,True,2.0,2.6875,False,10,OMR,IPAD,1.0,,False
+,425.0,1.0,trial,2.6875,False,1.0,2.6875,False,10,OMR,IPAD,1.0,,True
+,425.0,1.0,trial,4.03125,True,2.0,2.6875,True,10,OMR,IPAD,1.0,,True
+,500.0,1.0,trial,4.03125,True,3.0,2.6875,True,10,OMR,IPAD,1.0,,True
+,575.0,1.0,trial,2.6875,True,2.0,2.6875,True,10,OMR,IPAD,1.0,,True
-,575.0,1.0,trial,4.03125,False,3.0,2.6875,True,10,OMR,IPAD,1.0,,False
-,425.0,1.0,trial,2.6875,True,1.0,2.6875,False,10,OMR,IPAD,1.0,,False
+,500.0,1.0,trial,4.03125,False,2.0,2.6875,False,10,OMR,IPAD,1.0,,True
+,425.0,1.0,trial,2.6875,True,1.0,2.6875,True,10,OMR,IPAD,1.0,,True
-,575.0,1.0,trial,2.6875,False,1.0,2.6875,True,10,OMR,IPAD,1.0,,False
-,575.0,1.0,trial,2.6875,False,4.0,2.6875,True,10,OMR,IPAD,1.0,,False
-,500.0,1.0,trial,2.6875,False,3.0,2.6875,True,10,OMR,IPAD,1.0,,False
+,575.0,1.0,trial,4.03125,True,2.0,2.6875,True,10,OMR,IPAD,1.0,,True
+,575.0,1.0,trial,4.03125,True,2.0,2.6875,True,10,OMR,IPAD,1.0,,True
+,425.0,1.0,trial,4.03125,False,2.0,2.6875,False,10,OMR,IPAD,1.0,,True
-,575.0,1.0,trial,4.03125,True,2.0,2.6875,False,10,OMR,IPAD,1.0,,False
+,500.0,1.0,trial,4.03125,False,1.0,2.6875,False,10,OMR,IPAD,1.0,,True
-,425.0,1.0,trial,4.03125,True,2.0,2.6875,False,10,OMR,IPAD,1.0,,False
+,425.0,1.0,trial,2.6875,False,1.0,2.6875,False,10,OMR,IPAD,1.0,,True
-,425.0,1.0,trial,4.03125,False,3.0,2.6875,True,10,OMR,IPAD,1.0,,False
-,500.0,1.0,trial,4.03125,False,2.0,2.6875,True,10,OMR,IPAD,1.0,,False
-,500.0,1.0,trial,4.03125,False,2.0,2.6875,True,10,OMR,IPAD,1.0,,False
-,425.0,1.0,trial,4.03125,True,1.0,2.6875,False,10,OMR,IPAD,1.0,,False
+,575.0,1.0,trial,4.03125,False,1.0,2.6875,False,10,OMR,IPAD,1.0,,True
-,425.0,1.0,trial,2.6875,False,2.0,2.6875,True,10,OMR,IPAD,1.0,,False
+,575.0,1.0,trial,4.03125,False,1.0,2.6875,False,10,OMR,IPAD,1.0,,True
-,575.0,1.0,trial,2.6875,True,1.0,2.6875,False,10,OMR,IPAD,1.0,,False
-,500.0,1.0,trial,4.03125,False,1.0,2.6875,True,10,OMR,IPAD,1.0,,False
+,500.0,1.0,trial,2.6875,True,0.0,2.6875,True,10,OMR,IPAD,1.0,,True
+,575.0,1.0,trial,2.6875,False,1.0,2.6875,False,10,OMR,IPAD,1.0,,True
+,575.0,1.0,trial,2.6875,True,0.0,2.6875,True,10,OMR,IPAD,1.0,,True
-,575.0,1.0,trial,2.6875,False,1.0,2.6875,True,10,OMR,IPAD,1.0,,False
-,425.0,1.0,trial,4.03125,True,4.0,2.6875,False,10,OMR,IPAD,1.0,,False
+,425.0,1.0,trial,4.03125,False,0.0,2.6875,False,10,OMR,IPAD,1.0,,True
-,500.0,1.0,trial,4.03125,True,1.0,2.6875,False,10,OMR,IPAD,1.0,,False
+,500.0,1.0,trial,2.6875,False,0.0,2.6875,False,10,OMR,IPAD,1.0,,True
+,575.0,1.0,trial,4.03125,True,1.0,2.6875,True,10,OMR,IPAD,1.0,,True
+,500.0,1.0,trial,4.03125,False,0.0,2.6875,False,10,OMR,IPAD,1.0,,True
+,500.0,1.0,trial,2.6875,True,1.0,2.6875,True,10,OMR,IPAD,1.0,,True
-,425.0,1.0,trial,2.6875,False,1.0,2.6875,True,10,OMR,IPAD,1.0,,False
-,500.0,1.0,trial,2.6875,False,1.0,2.6875,True,10,OMR,IPAD,1.0,,False
-,575.0,1.0,trial,4.03125,True,0.0,2.6875,False,10,OMR,IPAD,1.0,,False
-,425.0,1.0,trial,2.6875,False,1.0,2.6875,True,10,OMR,IPAD,1.0,,False
+,425.0,1.0,trial,4.03125,True,0.0,2.6875,True,10,OMR,IPAD,1.0,,True
-,500.0,1.0,trial,2.6875,False,1.0,2.6875,True,10,OMR,IPAD,1.0,,False
+,425.0,1.0,trial,2.6875,True,0.0,2.6875,True,10,OMR,IPAD,1.0,,True
-,500.0,1.0,trial,2.6875,False,1.0,2.6875,True,10,OMR,IPAD,1.0,,False
+,425.0,1.0,trial,4.03125,True,0.0,2.6875,True,10,OMR,IPAD,1.0,,True
+,425.0,1.0,trial,2.6875,False,1.0,2.6875,False,10,OMR,IPAD,1.0,,True
+,575.0,1.0,trial,2.6875,False,1.0,2.6875,False,10,OMR,IPAD,1.0,,True
-,575.0,1.0,trial,2.6875,False,1.0,2.6875,True,10,OMR,IPAD,1.0,,False
-,575.0,1.0,trial,4.03125,False,1.0,2.6875,True,10,OMR,IPAD,1.0,,False
-,425.0,1.0,trial,4.03125,False,1.0,2.6875,True,10,OMR,IPAD,1.0,,False
-,500.0,1.0,trial,4.03125,True,1.0,2.6875,False,10,OMR,IPAD,1.0,,False
+,500.0,1.0,trial,4.03125,False,0.0,2.6875,False,10,OMR,IPAD,1.0,,True
+,500.0,1.0,trial,2.6875,True,1.0,2.6875,True,10,OMR,IPAD,1.0,,True
+,500.0,1.0,trial,2.6875,True,3.0,2.6875,True,10,OMR,IPAD,1.0,,True
+,500.0,1.0,trial,4.03125,False,0.0,2.6875,False,10,OMR,IPAD,1.0,,True
-,500.0,1.0,trial,2.6875,True,1.0,2.6875,False,10,OMR,IPAD,1.0,,False
-,575.0,1.0,trial,2.6875,False,0.0,2.6875,True,10,OMR,IPAD,1.0,,False
-,500.0,1.0,trial,2.6875,True,1.0,2.6875,False,10,OMR,IPAD,1.0,,False
-,500.0,1.0,trial,4.03125,False,1.0,2.6875,True,10,OMR,IPAD,1.0,,False
+,500.0,1.0,trial,4.03125,True,1.0,2.6875,True,10,OMR,IPAD,1.0,,True
+,575.0,1.0,trial,2.6875,True,2.0,2.6875,True,10,OMR,IPAD,1.0,,True
-,425.0,1.0,trial,4.03125,False,1.0,2.6875,True,10,OMR,IPAD,1.0,,False
